,Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
323,2007-06-14,14203.7197265625,14219.240234375,14087.91015625,14087.91015625,11800,13938.29515625,13347.526494140626,45.212582118700645
324,2007-06-15,14162.7099609375,14326.5498046875,14112.5302734375,14277.6103515625,13000,13969.05775390625,13361.306791992187,41.53238679915332
325,2007-06-18,14080.1396484375,14283.7099609375,14057.259765625,14241.759765625,9400,13994.92515625,13374.047739257812,34.2731201035581
326,2007-06-19,14295.5,14315.1796875,14058.7900390625,14088.580078125,9400,14023.7135546875,13387.66423828125,46.0837669448425
327,2007-06-20,14411.9501953125,14449.3798828125,14347.580078125,14359.9599609375,11200,14048.39775390625,13401.626391601563,45.4708403428663
328,2007-06-21,14499.240234375,14526.4404296875,14406.669921875,14415.5595703125,13800,14074.5917578125,13415.588344726562,47.65365054626179
329,2007-06-22,14467.3603515625,14560.3203125,14441.759765625,14508.6298828125,18600,14100.27416015625,13429.305546875,49.040717171990295
330,2007-06-25,14487.7197265625,14521.6201171875,14424.7099609375,14469.4296875,16200,14127.75236328125,13443.248896484374,48.382549909649924
331,2007-06-26,14501.080078125,14560.48046875,14478.75,14478.75,12400,14150.09236328125,13456.86419921875,60.24747358469308
332,2007-06-27,14431.0595703125,14520.1904296875,14407.1201171875,14520.1904296875,10400,14164.801953125,13469.448447265626,60.2338517795998
333,2007-06-28,14504.5703125,14537.0400390625,14435.240234375,14498.0498046875,16000,14182.75255859375,13482.44830078125,69.20423145885935
334,2007-06-29,14650.509765625,14663.25,14574.4501953125,14589.51953125,10800,14202.3189453125,13496.034799804687,72.258396871076
335,2007-07-02,14664.259765625,14745.9697265625,14638.8798828125,14685.16015625,9200,14223.21013671875,13510.086850585938,71.50250458116678
336,2007-07-03,14806.509765625,14828.3896484375,14720.0,14720.0,9200,14241.39212890625,13524.526147460938,82.02541440679087
337,2007-07-04,14880.240234375,14906.9296875,14790.75,14868.1396484375,14800,14260.43033203125,13541.173896484375,80.00140315502004
338,2007-07-05,14861.8896484375,14963.259765625,14731.2197265625,14932.5302734375,18800,14274.93373046875,13557.17939453125,81.6421794370913
339,2007-07-06,14964.1201171875,15007.2197265625,14826.5595703125,14843.4296875,20000,14289.8607421875,13572.531044921874,89.30610437093455
340,2007-07-09,15045.73046875,15085.2197265625,15005.4697265625,15018.7099609375,14200,14306.19775390625,13587.894599609375,87.86241633892224
341,2007-07-10,15009.8798828125,15114.9501953125,14966.400390625,15100.1298828125,12600,14328.22375,13602.896049804687,82.84848536872194
342,2007-07-11,14910.6201171875,15015.349609375,14829.5498046875,14948.150390625,14600,14348.98875,13617.092651367188,72.3066234711136
343,2007-07-12,15092.0400390625,15112.2197265625,14963.5302734375,14963.5302734375,19800,14369.2653515625,13632.700502929687,79.14589716064526
344,2007-07-13,15272.7197265625,15330.73046875,15216.830078125,15216.830078125,24000,14396.03435546875,13648.518403320313,81.85972588840535
345,2007-07-16,15311.2197265625,15341.3798828125,15239.41015625,15295.0302734375,20000,14424.67375,13663.703154296874,82.2224967042733
346,2007-07-17,15289.8203125,15440.2001953125,15272.4599609375,15357.599609375,15800,14455.16095703125,13678.968354492188,85.53057208774248
347,2007-07-18,15301.169921875,15325.7802734375,15160.26953125,15296.0595703125,13000,14485.55416015625,13694.604653320312,84.74594320141213
348,2007-07-19,15550.1298828125,15593.3095703125,15357.3798828125,15357.3798828125,18600,14521.1321484375,13710.749350585938,86.0037910616927
349,2007-07-20,15565.5498046875,15683.0302734375,15524.6796875,15625.6298828125,18000,14556.51994140625,13726.742548828124,86.02247401515181
350,2007-07-23,15732.2001953125,15773.3701171875,15477.91015625,15560.5703125,13400,14591.84673828125,13743.499848632813,86.28988354704863
351,2007-07-24,15794.919921875,15868.849609375,15742.3203125,15802.1904296875,22200,14629.15853515625,13760.202348632813,86.17049212741341
352,2007-07-25,15699.330078125,15771.259765625,15572.98046875,15711.8701171875,25200,14660.5989453125,13776.86705078125,81.20958860536061
353,2007-07-26,15776.3095703125,15812.26953125,15654.400390625,15768.2802734375,17000,14690.1309375,13794.728549804688,80.84915080468434
354,2007-07-27,15234.5703125,15495.509765625,15159.6796875,15487.759765625,30200,14708.754140625,13808.954350585938,55.314888129317254
355,2007-07-30,15260.91015625,15451.8095703125,15135.25,15278.0302734375,20400,14725.6003515625,13823.394853515625,57.103262656715025
356,2007-07-31,15550.990234375,15568.849609375,15224.8203125,15358.6904296875,18200,14747.54576171875,13839.320654296875,66.3541024982355
357,2007-08-01,14935.76953125,15344.01953125,14910.51953125,15344.01953125,22800,14758.99595703125,13852.180654296875,46.73296782763114
358,2007-08-02,14985.7001953125,15134.5302734375,14896.4697265625,15022.8701171875,14400,14774.34775390625,13865.341704101562,43.65247889976416
359,2007-08-03,15138.400390625,15235.509765625,15061.1298828125,15061.1298828125,11400,14790.3467578125,13878.343803710937,46.36181936374652
360,2007-08-06,14903.0302734375,14928.7998046875,14705.580078125,14892.599609375,15600,14800.4495703125,13889.17685546875,42.530270403407975
361,2007-08-07,14932.76953125,15142.0400390625,14901.830078125,15038.0302734375,14000,14808.94076171875,13899.1998046875,42.93559069639231
362,2007-08-08,15307.98046875,15340.240234375,15088.0703125,15088.0703125,17200,14826.8727734375,13911.320556640625,45.57101617226313
363,2007-08-09,15100.150390625,15542.400390625,15062.099609375,15452.4404296875,16400,14837.98658203125,13922.52890625,42.0474467573132
364,2007-08-10,14868.25,14901.3095703125,14570.8896484375,14674.919921875,16400,14843.93658203125,13933.25220703125,35.559195244884094
365,2007-08-13,15017.2099609375,15044.740234375,14869.150390625,14965.650390625,9400,14854.365390625,13944.791254882812,37.36495514925973
366,2007-08-14,15000.91015625,15069.6396484375,14964.66015625,15066.7099609375,9600,14863.6833984375,13956.679404296876,38.353071075413816
367,2007-08-16,14358.2099609375,14584.919921875,14345.0302734375,14584.919921875,21800,14865.72900390625,13964.978403320312,30.10534426360671
368,2007-08-17,14141.51953125,14318.5595703125,13779.8798828125,14309.3701171875,32400,14864.83580078125,13971.151953125,33.126582141086885
369,2007-08-20,14427.5498046875,14680.08984375,14406.91015625,14512.2802734375,12400,14872.11060546875,13978.168403320313,38.09030290867243
370,2007-08-21,13989.1103515625,14534.509765625,13941.9296875,14512.1904296875,15800,14870.224609375,13983.304453125,28.586917142114274
371,2007-08-22,14248.66015625,14281.48046875,13870.7001953125,14055.400390625,19400,14872.57880859375,13989.382553710937,39.56189635241981
372,2007-08-23,14163.98046875,14554.9296875,14128.7197265625,14458.330078125,17800,14875.7978125,13994.74685546875,37.647401133377194
373,2007-08-24,14424.8701171875,14455.490234375,14163.6103515625,14237.259765625,10400,14880.2208203125,14001.217255859376,39.61167715420622
374,2007-08-27,14842.3798828125,14858.9296875,14581.349609375,14581.349609375,11600,14893.81421875,14009.49470703125,49.161460392350016
375,2007-08-28,14919.1904296875,14952.0400390625,14751.6796875,14841.6103515625,14200,14910.595234375,14018.307358398437,49.81467042523841
376,2007-08-29,14993.0400390625,15029.5302734375,14592.1103515625,14651.490234375,17400,14924.54603515625,14027.910009765625,45.3163689998144
377,2007-08-30,15121.740234375,15200.8095703125,15053.98046875,15168.6904296875,18400,14938.7418359375,14037.831259765626,50.328811750364835
378,2007-08-31,15318.599609375,15350.91015625,15131.3603515625,15131.3603515625,14400,14955.1290234375,14048.00970703125,56.932788521672194
379,2007-09-03,15422.0498046875,15427.16015625,15323.0498046875,15401.990234375,15000,14974.2228125,14058.124956054688,56.32076547623622
380,2007-09-04,15465.400390625,15521.48046875,15389.6201171875,15482.1298828125,13400,14993.77642578125,14068.324458007812,57.1913427746689
381,2007-09-05,15446.150390625,15580.8603515625,15407.0,15535.349609375,16200,15012.67783203125,14078.208359375,70.8732839817058
382,2007-09-06,15616.3095703125,15637.740234375,15350.1796875,15383.1796875,11200,15036.38283203125,14088.760458984376,78.80980115278504
383,2007-09-07,15590.419921875,15716.0595703125,15565.2197265625,15655.3701171875,14000,15058.09982421875,14099.56515625,75.2865169183542
384,2007-09-10,15596.830078125,15626.2802734375,15363.5302734375,15413.580078125,11200,15077.02623046875,14110.395756835938,93.0479689358976
385,2007-09-11,15542.76953125,15698.98046875,15506.099609375,15668.400390625,12000,15094.59642578125,14120.025756835938,88.93535728430784
386,2007-09-12,15505.3603515625,15661.4404296875,15486.8095703125,15608.5,13200,15108.5734375,14129.019907226562,91.53911243179752
387,2007-09-13,15614.4404296875,15650.1396484375,15547.66015625,15547.66015625,13400,15123.25744140625,14138.687958984376,90.66103387685126
388,2007-09-14,15603.7998046875,15824.650390625,15568.3603515625,15713.66015625,13400,15138.09564453125,14148.190307617188,86.0548137269228
389,2007-09-17,15504.4296875,15726.0595703125,15467.4599609375,15664.740234375,9400,15148.9018359375,14156.844506835938,77.13260947713749
390,2007-09-18,15669.1201171875,15691.8798828125,15468.7998046875,15547.0703125,12200,15161.36962890625,14167.180356445313,78.90910518263146
391,2007-09-19,16322.75,16335.2998046875,15940.7900390625,15940.7900390625,22800,15187.62703125,14180.710454101563,85.4436997380847
392,2007-09-20,16347.9501953125,16415.880859375,16261.3603515625,16341.5498046875,21600,15216.3736328125,14193.968657226562,83.8026005478686
393,2007-09-21,16564.23046875,16616.83984375,16308.08984375,16352.3203125,92400,15245.81744140625,14207.565908203125,84.92008281029527
394,2007-09-24,16845.830078125,16869.640625,16599.66015625,16697.890625,21200,15277.2796484375,14222.423408203125,86.8375899987387
395,2007-09-25,16899.5390625,16928.01953125,16676.98046875,16890.75,18800,15309.04603515625,14237.2328515625,88.08413223851082
396,2007-09-26,16921.390625,17073.869140625,16887.0703125,16969.44921875,16400,15341.67744140625,14252.0948046875,87.07993143391136
397,2007-09-27,17150.560546875,17188.400390625,17018.560546875,17059.609375,19000,15378.66525390625,14267.987456054687,89.73662531787629
398,2007-09-28,17291.099609375,17361.470703125,17152.310546875,17152.310546875,22600,15413.4846484375,14285.445502929688,90.39302204730569
399,2007-10-01,17328.619140625,17425.33984375,17144.580078125,17356.990234375,22200,15448.74603515625,14305.091450195312,92.91485225468946
400,2007-10-03,17847.0390625,17953.0703125,17288.41015625,17467.41015625,32800,15491.0428125,14329.351547851562,95.70555748917059
401,2007-10-04,17777.140625,17890.490234375,17494.69921875,17799.630859375,20800,15530.6872265625,14352.330551757812,92.86787487238968
402,2007-10-05,17773.359375,17979.1796875,17708.80078125,17831.6796875,20000,15572.1678125,14373.761547851562,93.12109501617796
403,2007-10-08,17491.390625,17982.58984375,17322.140625,17901.939453125,20400,15606.46943359375,14393.145903320312,86.81933076029961
404,2007-10-09,18280.240234375,18327.419921875,17287.189453125,17402.240234375,25600,15667.38283203125,14415.891655273437,89.29549065224836
405,2007-10-10,18658.25,18703.669921875,18436.990234375,18473.4296875,26000,15735.32962890625,14442.272856445312,88.32713659324598
406,2007-10-11,18814.0703125,18832.650390625,18536.970703125,18696.619140625,35400,15800.59123046875,14469.642158203125,88.80699516700346
407,2007-10-12,18419.0390625,18844.619140625,18336.0,18794.630859375,30000,15870.25662109375,14494.813051757812,77.63283320472217
408,2007-10-15,19058.669921875,19095.75,18525.609375,18525.609375,22800,15951.716015625,14522.747700195312,79.78892236823424
409,2007-10-16,19051.859375,19174.44921875,18777.75,19102.9296875,27400,16029.9851953125,14549.465297851562,79.34474755253619
410,2007-10-17,18715.8203125,18841.2890625,17307.900390625,18037.900390625,36800,16106.24099609375,14573.745947265625,72.53465991537006
411,2007-10-18,17998.390625,19198.66015625,17771.16015625,18827.4609375,41600,16167.55341796875,14594.506201171875,59.48409249507649
412,2007-10-19,17559.98046875,18031.76953125,17226.1796875,18031.76953125,35400,16212.59341796875,14613.371552734376,52.81986513020576
